Date,Total Price,Total Discount,Total Donation,Total Charge (inc.VAT),Total Charge (exc.VAT),	Total Units,	Total Orders,Monthly Active User,Percentage of Monthly Active User,Percentage of Monthly Active User w/o Move out
12 Dec - 18 Dec 2016,14979.5,490.29,0.0,14489.21,12074.342,2077,1788,704,14.99,15.120000000000001
14 Nov - 20 Nov 2016,30085.75,857.52,0.0,29228.23,24356.858,4178,3494,1011,22.05,22.24
17 Oct - 23 Oct 2016,27397.3,639.96,0.0,26757.34,22297.783,3838,3224,960,22.21,22.41
12 Sep - 18 Sep 2016,25045.9,507.17,0.0,24538.73,20448.942,3550,3014,961,23.89,24.13
15 Aug - 21 Aug 2016,21756.0,430.78,0.0,21325.22,17771.017,3077,2605,811,22.57,22.82
11 Jul - 17 Jul 2016,21111.6,352.5,0.0,20759.1,17299.25,2989,2373,742,22.96,23.25
13 Jun - 19 Jun 2016,21328.7,200.89,0.0,21127.81,17606.508,3068,2399,655,22.470000000000002,22.78
16 May - 22 May 2016,20995.2,261.59,0.0,20733.61,17278.008,2998,2268,664,23.97,24.32
11 Apr - 17 Apr 2016,19766.7,335.0,157.0,19588.7,16323.917,2809,2206,688,26.090000000000003,26.490000000000002
14 Mar - 20 Mar 2016,21586.2,320.8,0.0,21264.4,17720.333,3032,2220,668,26.939999999999998,27.38
15 Feb - 21 Feb 2016,22113.0,433.99,0.0,21685.8,18071.5,3122,2311,706,30.349999999999998,30.880000000000003
11 Jan - 17 Jan 2016,19386.2,331.4,0.0,19051.2,15876.0,2754,1907,647,30.79,31.39
14 Dec - 20 Dec 2015,12985.8,133.2,0.0,12851.6,10709.667,1840,1236,490,25.779999999999998,26.33
16 Nov - 22 Nov 2015,19490.9,70.4,0.0,19399.5,16166.25,2743,1790,572,32.17,32.910000000000004
12 Oct - 18 Oct 2015,18419.3,0.0,0.0,18419.3,15349.417,2675,1715,507,31.990000000000002,32.82
14 Sep - 20 Sep 2015,15345.8,0.0,0.0,15332.2,12776.833,2189,1323,478,38.769999999999996,40.07
17 Aug - 23 Aug 2015,10790.4,0.0,313.2,5422.0,4518.333,1552,883,333,36.84,38.54
13 Jul - 19 Jul 2015,9082.2,0.0,0.0,27.2,22.667,1308,678,255,39.050000000000004,41.6
15 Jun - 21 Jun 2015,2013.6,0.0,0.0,102.0,85.0,650,392,165,38.92,42.970000000000006
11 May - 17 May 2015,108.8,0.0,0.0,108.8,90.667,223,119,64,35.96,43.54
13 Apr - 19 Apr 2015,0.0,0.0,0.0,0.0,0.0,0,0,0,"",""
16 Mar - 22 Mar 2015,0.0,0.0,0.0,0.0,0.0,0,0,0,"",""
16 Feb - 22 Feb 2015,0.0,0.0,0.0,0.0,0.0,0,0,0,"",""
12 Jan - 18 Jan 2015,0.0,0.0,0.0,0.0,0.0,0,0,0,"",""
