*ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,BrandingTheme
Individual Sales,"","","","","","","","","",c07022018,Daily Sales,07/02/2018,07/02/2018,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p07022018,Daily Sales,07/02/2018,07/02/2018,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b07022018,Daily Sales,07/02/2018,07/02/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c06022018,Daily Sales,06/02/2018,06/02/2018,"","",Cash,1,44.8,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p06022018,Daily Sales,06/02/2018,06/02/2018,"","",Card,1,205.8,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b06022018,Daily Sales,06/02/2018,06/02/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c05022018,Daily Sales,05/02/2018,05/02/2018,"","",Cash,1,43.6,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p05022018,Daily Sales,05/02/2018,05/02/2018,"","",Card,1,202.9,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b05022018,Daily Sales,05/02/2018,05/02/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c04022018,Daily Sales,04/02/2018,04/02/2018,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p04022018,Daily Sales,04/02/2018,04/02/2018,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b04022018,Daily Sales,04/02/2018,04/02/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c03022018,Daily Sales,03/02/2018,03/02/2018,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p03022018,Daily Sales,03/02/2018,03/02/2018,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b03022018,Daily Sales,03/02/2018,03/02/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c02022018,Daily Sales,02/02/2018,02/02/2018,"","",Cash,1,34.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p02022018,Daily Sales,02/02/2018,02/02/2018,"","",Card,1,172.5,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b02022018,Daily Sales,02/02/2018,02/02/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c01022018,Daily Sales,01/02/2018,01/02/2018,"","",Cash,1,49.7,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p01022018,Daily Sales,01/02/2018,01/02/2018,"","",Card,1,174.1,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b01022018,Daily Sales,01/02/2018,01/02/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c31012018,Daily Sales,31/01/2018,31/01/2018,"","",Cash,1,45.2,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p31012018,Daily Sales,31/01/2018,31/01/2018,"","",Card,1,189.2,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b31012018,Daily Sales,31/01/2018,31/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c30012018,Daily Sales,30/01/2018,30/01/2018,"","",Cash,1,40.2,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p30012018,Daily Sales,30/01/2018,30/01/2018,"","",Card,1,211.9,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b30012018,Daily Sales,30/01/2018,30/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c29012018,Daily Sales,29/01/2018,29/01/2018,"","",Cash,1,65.8,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p29012018,Daily Sales,29/01/2018,29/01/2018,"","",Card,1,135.9,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b29012018,Daily Sales,29/01/2018,29/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c28012018,Daily Sales,28/01/2018,28/01/2018,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p28012018,Daily Sales,28/01/2018,28/01/2018,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b28012018,Daily Sales,28/01/2018,28/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c27012018,Daily Sales,27/01/2018,27/01/2018,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p27012018,Daily Sales,27/01/2018,27/01/2018,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b27012018,Daily Sales,27/01/2018,27/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c26012018,Daily Sales,26/01/2018,26/01/2018,"","",Cash,1,22.1,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p26012018,Daily Sales,26/01/2018,26/01/2018,"","",Card,1,311.66,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b26012018,Daily Sales,26/01/2018,26/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c25012018,Daily Sales,25/01/2018,25/01/2018,"","",Cash,1,34.8,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p25012018,Daily Sales,25/01/2018,25/01/2018,"","",Card,1,114.4,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b25012018,Daily Sales,25/01/2018,25/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c24012018,Daily Sales,24/01/2018,24/01/2018,"","",Cash,1,46.1,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p24012018,Daily Sales,24/01/2018,24/01/2018,"","",Card,1,220.6,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b24012018,Daily Sales,24/01/2018,24/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c23012018,Daily Sales,23/01/2018,23/01/2018,"","",Cash,1,37.6,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p23012018,Daily Sales,23/01/2018,23/01/2018,"","",Card,1,95.9,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b23012018,Daily Sales,23/01/2018,23/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c22012018,Daily Sales,22/01/2018,22/01/2018,"","",Cash,1,43.2,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p22012018,Daily Sales,22/01/2018,22/01/2018,"","",Card,1,210.1,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b22012018,Daily Sales,22/01/2018,22/01/2018,"","",Bank,1,11.5,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c21012018,Daily Sales,21/01/2018,21/01/2018,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p21012018,Daily Sales,21/01/2018,21/01/2018,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b21012018,Daily Sales,21/01/2018,21/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c20012018,Daily Sales,20/01/2018,20/01/2018,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p20012018,Daily Sales,20/01/2018,20/01/2018,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b20012018,Daily Sales,20/01/2018,20/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c19012018,Daily Sales,19/01/2018,19/01/2018,"","",Cash,1,37.9,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p19012018,Daily Sales,19/01/2018,19/01/2018,"","",Card,1,145.49,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b19012018,Daily Sales,19/01/2018,19/01/2018,"","",Bank,1,5.5,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c18012018,Daily Sales,18/01/2018,18/01/2018,"","",Cash,1,202.4,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p18012018,Daily Sales,18/01/2018,18/01/2018,"","",Card,1,149.46,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b18012018,Daily Sales,18/01/2018,18/01/2018,"","",Bank,1,5.5,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c17012018,Daily Sales,17/01/2018,17/01/2018,"","",Cash,1,56.3,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p17012018,Daily Sales,17/01/2018,17/01/2018,"","",Card,1,170.34,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b17012018,Daily Sales,17/01/2018,17/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c16012018,Daily Sales,16/01/2018,16/01/2018,"","",Cash,1,42.6,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p16012018,Daily Sales,16/01/2018,16/01/2018,"","",Card,1,137.18,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b16012018,Daily Sales,16/01/2018,16/01/2018,"","",Bank,1,5.5,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c15012018,Daily Sales,15/01/2018,15/01/2018,"","",Cash,1,36.8,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p15012018,Daily Sales,15/01/2018,15/01/2018,"","",Card,1,238.6,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b15012018,Daily Sales,15/01/2018,15/01/2018,"","",Bank,1,14.2,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c14012018,Daily Sales,14/01/2018,14/01/2018,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p14012018,Daily Sales,14/01/2018,14/01/2018,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b14012018,Daily Sales,14/01/2018,14/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c13012018,Daily Sales,13/01/2018,13/01/2018,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p13012018,Daily Sales,13/01/2018,13/01/2018,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b13012018,Daily Sales,13/01/2018,13/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c12012018,Daily Sales,12/01/2018,12/01/2018,"","",Cash,1,50.9,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p12012018,Daily Sales,12/01/2018,12/01/2018,"","",Card,1,199.4,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b12012018,Daily Sales,12/01/2018,12/01/2018,"","",Bank,1,5.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c11012018,Daily Sales,11/01/2018,11/01/2018,"","",Cash,1,20.3,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p11012018,Daily Sales,11/01/2018,11/01/2018,"","",Card,1,139.4,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b11012018,Daily Sales,11/01/2018,11/01/2018,"","",Bank,1,5.5,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c10012018,Daily Sales,10/01/2018,10/01/2018,"","",Cash,1,50.3,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p10012018,Daily Sales,10/01/2018,10/01/2018,"","",Card,1,171.4,"",200,20% (VAT on Income),"","","","","","",""
